"NAME10_1","geo","college","publicassistance","poverty","unemployment","owneroccupied","vacancy","employment_access_index","job_diversity_index","jobchange","Total.Mathematics.Avg.Scale.Score","Total.Reading.Average.Scale.Score","inverse.pct"
"","1428",0.684089162182936,0.982706002034588,0.957273652085453,0.918007662835249,0.737080103359173,0.910185185185185,19983.8706996015,2768.49661083953,NA,NA,NA,NA
"Andover","5281",0.697368421052632,0.993832599118943,0.963876651982379,0.963665943600868,0.92039018250472,0.98438855160451,6158.42586944357,2399.62713163793,-0.366959064385965,270.8,258.7,0.9894036
"Ansonia","1253",0.52461599054746,0.767419038272817,0.851324828263003,0.899782135076253,0.390076194015982,0.915955056179775,17121.3080515985,2452.60116391462,0.0471973687280353,235.1,225.1,0.9815575
"Ansonia","1252",0.50471554609066,0.804303694681283,0.854242793341453,0.899672846237732,0.516880093131548,0.96135831381733,16333.5577670574,2436.659341461,0.0471973687280353,235.1,225.1,0.9815575
"Ansonia","1251",0.563137254901961,0.971951219512195,0.948780487804878,0.943918150814703,0.932845458458889,0.979689366786141,17214.3157579199,2478.84083880377,0.0471973687280353,235.1,225.1,0.9815575
"Ansonia","1254",0.456593406593407,0.786117836965295,0.770782889426957,0.903740036787247,0.614827018121911,0.905040175310446,14439.0119602615,2392.92432326923,0.0471973687280353,235.1,225.1,0.9815575
"Ashford","8301",0.651592607156901,0.898181818181818,0.952727272727273,0.940846125046799,0.803396928804095,0.882825040128411,4567.05292439502,2366.07253029063,0.0656523895441936,248.1,239.6,0.9921242
"Avon","4621.01",0.908652299774847,0.99396621078037,0.964601769911504,0.955480607082631,0.941597139451728,0.979125640015754,12352.5430763284,2420.7600006275,0.0567946193705104,275.6,275.4,0.9893911
"Avon","4621.02",0.939793038570085,0.980553477935677,0.943904263275991,0.912610619469027,0.934281510544384,0.980924431401321,9793.14343411001,2293.9222918411,0.0567946193705104,275.6,275.4,0.9893911
"Avon","4622.01",0.899790502793296,0.989267382174522,0.933271115258983,0.933333333333333,0.863005890176705,1,16595.9179054443,2321.96444145996,0.0567946193705104,275.6,275.4,0.9893911
"Avon","4622.02",0.895803183791606,0.978241949521323,0.957354221061793,0.914990266060999,0.713151927437642,0.9192,15414.18556,2414.96196,0.0567946193705104,275.6,275.4,0.9893911
"Barkhamsted","2901",0.718043377941855,0.987359550561798,0.985955056179775,0.937684210526316,0.940803382663848,0.913992297817715,5375.37079740583,2259.590385828,0.858301784308183,269.4,250.8,0.9947355
"Beacon Falls","3411",0.669598358252712,0.970142602495544,0.949643493761141,0.907455758630693,0.903075644222776,0.939698492462312,10623.1749200088,2364.29658094381,-0.036157024757181,260,247.2,0.9846256
"Berlin","4002",0.795299938157081,0.983420180009474,0.948839412600663,0.942847917339361,0.983142161974279,0.969683050068902,15114.2651751109,1995.83070424395,-0.0534816098226466,269.7,248.4,0.9818786
"Berlin","4001",0.674849578820698,0.977088473739866,0.934085301374692,0.922289943404441,0.833017591339648,0.942838152210037,20282.1536505519,1948.15093155916,-0.0534816098226466,269.7,248.4,0.9818786
"Berlin","4003",0.760498509888919,0.967053538000749,0.950580307001123,0.950177935943061,0.92299703264095,0.965305384893386,20489.313277202,2057.72196315015,-0.0534816098226466,269.7,248.4,0.9818786
"Bethany","1611",0.788216039279869,0.981201044386423,0.954569190600522,0.920943576665604,0.933164281833001,0.963764469048817,10357.214869661,2390.88254059322,0.0844370860647559,258.9,246.7,0.9924501
"Bethel","2003.02",0.798641765704584,0.978123200921128,0.980426021876799,0.930270984798414,0.935593220338983,0.946594005449591,11637.8008743576,2226.98222779751,0.105351930470348,278.2,263.6,0.9891304
"Bethel","2003.01",0.7680262199563,0.94587791063562,0.97923222152297,0.961735700197239,0.930479102956167,0.982683982683983,18036.0303717789,2266.44565204709,0.105351930470348,278.2,263.6,0.9891304
"Bethel","2002",0.682522903453136,0.958488805970149,0.969682835820896,0.910925539318024,0.689579597529388,0.971014492753623,17030.4650556195,2336.08878757129,0.105351930470348,278.2,263.6,0.9891304
"Bethel","2001",0.654063205417607,0.900584795321637,0.918859649122807,0.896110056925996,0.694805194805195,0.955307262569832,16710.7038903363,2232.99167565022,0.105351930470348,278.2,263.6,0.9891304
