"NAME10_1","geo","college","publicassistance","poverty","unemployment","owneroccupied","commutetime","vacancy","employment_access_index","Total.Mathematics.Avg.Scale.Score","Total.Reading.Average.Scale.Score","index"
"","1428",0.210884705504629,0.702187495306381,0.56102091073068,0.144222554899594,0.17155700214527,0.756496040257598,-0.0164581100337669,-0.178309402261289,NA,NA,0.293950149568637
"Andover","5281",0.285091558140548,0.781455701206652,0.616249817325165,0.941069712808488,0.863470377443725,-0.482645238228853,0.908224572796476,-0.933464527166077,0.778338443233343,0.997248700365131,0.47550391179246
"Ansonia","1251",-0.465015994052919,0.625568174148754,0.489982264044976,0.596423083702846,0.910483460771677,0.231833455887532,0.84966584379745,-0.329584361845528,-0.841762185347363,-0.854195406160916,0.121339833494651
"Ansonia","1252",-0.791486859561266,-0.568787873456642,-0.300751278084718,-0.175764230663171,-0.659599326123937,0.218260976994543,0.621234061571882,-0.377691957570031,-0.841762185347363,-0.854195406160916,-0.373054407840162
"Ansonia","1253",-0.680279648098198,-0.831561883927306,-0.32515776351246,-0.173856876752635,-1.13822720216339,0.53151700540912,0.0554429376991893,-0.334664505518806,-0.841762185347363,-0.854195406160916,-0.459274552837276
"Ansonia","1254",-1.0604019058932,-0.698347729266556,-0.998827805365019,-0.10478194276906,-0.289893591523402,0.216350362690692,-0.0805724725449986,-0.481173327822073,-0.841762185347363,-0.854195406160916,-0.51936060040019
"Ashford","8301",0.0292881952132842,0.100019522619129,0.522994019191139,0.542808822256099,0.421873289970565,-1.52714469519138,-0.357405610862165,-1.02038639115318,-0.251809575500047,-0.0552091101898538,-0.159497153364642
"Avon","4622.01",1.41626203515154,0.748932140410278,0.360258547393842,0.411692480938567,0.64687039789615,-0.905449160474598,1.1027660967434,-0.36336166979213,0.996167099176968,1.91746050331111,0.633159847075513
"Avon","4622.02",1.39398018972069,0.670384651086499,0.561694806920013,0.0915617011940617,0.0812388644641634,-0.288700931175192,0.0958796928237847,-0.427908687836819,0.996167099176968,1.91746050331111,0.509175788968528
"Avon","4621.01",1.4657833276538,0.782407578641272,0.622314859124772,0.798215842016303,0.943517133352674,-0.849664532655482,0.842640982156015,-0.595137666041377,0.996167099176968,1.91746050331111,0.692370512673606
"Avon","4621.02",1.639803296496,0.686852463204095,0.449196476790155,0.0500311268525731,0.915903913646996,-0.989242566992748,0.865056558760155,-0.734933801373296,0.996167099176968,1.91746050331111,0.579629506987201
"Barkhamsted","2901",0.400626882377196,0.735340348782171,0.800918322884424,0.487625785204578,0.9405210573004,-0.894486854772443,0.0309840922915418,-0.976235523542419,0.714805085249784,0.56193892531883,0.280203812109406
"Beacon Falls","3411",0.129907524294602,0.612683208063998,0.497200630862022,-0.0399336317752802,0.798115757118229,-0.610579038072031,0.351320947293465,-0.689596921576016,0.288223967360188,0.363569913905323,0.17009123574745
"Berlin","4002",0.832350236466828,0.707275448643194,0.490475123668378,0.577744927433604,1.10033096974628,0.486738274134255,0.724972474293721,-0.444290541621254,0.728419376246262,0.429692917709826,0.563370920672109
"Berlin","4001",0.159252275735252,0.662167048251391,0.367068574599195,0.21895868257916,0.533678012815501,1.27443543968416,0.390445708591956,-0.162016986223391,0.728419376246262,0.429692917709826,0.460210104998931
"Berlin","4003",0.637873685903558,0.590676066207758,0.505036337621845,0.705671437013786,0.873310068120111,0.832448626086022,0.670420351197938,-0.150701787641358,0.728419376246262,0.429692917709826,0.582284707846575
"Bethany","1611",0.792764153747357,0.691465862104287,0.538400215126983,0.195461334642381,0.911686876088141,-1.42437276691387,0.651218281724165,-0.704123838974142,0.238304900373106,0.336018662320114,0.222682368023852
"Bethel","2003.01",0.679939864230037,0.439816465799768,0.744687092669852,0.907382308367005,0.901551529528854,-0.553103898515303,0.886983146179856,-0.284701755210602,1.11415762114643,1.26725096590018,0.610396334009608
"Bethel","2003.02",0.851024961222601,0.669538661210239,0.754672294739106,0.358247110555399,0.920855030113822,-1.46204402523918,0.437249143765534,-0.634177367362716,1.11415762114643,1.26725096590018,0.427677439605141
"Bethel","2001",0.0430943362678244,0.117138834592839,0.239717955307061,-0.237943500002248,0.011988173173285,-0.404525665631098,0.545829095847547,-0.357091981849118,1.11415762114643,1.26725096590018,0.23396158347527
"Bethel","2002",0.202132174064998,0.529659123027813,0.664813983597093,0.0206224126684322,-0.00773611403398204,-1.58168060629713,0.741564201234857,-0.339626411252621,1.11415762114643,1.26725096590018,0.261115735005607
"Bethlehem","3421",0.169071289875103,0.491683257060414,0.657197053480995,0.395160716524153,0.739514167890252,-1.21441928127202,0.109755790933173,-0.927334366433766,0.560509787289718,0.815410439902753,0.179654885525077
"Bloomfield","4715",0.668941925879258,0.357742948254092,0.275890743593432,0.194824373595186,0.139683097544151,0.33079639537451,0.206315896581399,-0.126997602217399,0.365371616340221,0.920105195926547,0.33326745908714
"Bloomfield","4714",1.28053362069887,0.596121515312089,0.419429121465035,0.518184462549489,0.649445045272043,0.464574705255924,0.34488117592424,-0.446110543712164,0.365371616340221,0.920105195926547,0.51125359150323
"Bloomfield","4711",-0.666377502681465,-0.186632959412169,0.361226476213193,-0.719451953448824,0.640831627148831,0.295642511708659,-0.0416541946382604,0.235138805216318,0.365371616340221,0.920105195926547,0.120419962237305
"Bloomfield","4713",0.655250554561315,0.449702833314695,0.0607345441444328,0.608628671029878,0.0569181743661204,0.505491990845278,0.600570209220511,0.11804745226079,0.365371616340221,0.920105195926547,0.434082124200979
