"geo","NAME10_1","college","publicassistance","poverty","unemployment","owneroccupied","commutetime","vacancy","jobchange","Total.Mathematics.Avg.Scale.Score","Total.Reading.Average.Scale.Score","employment_access_index","job_diversity_index"
"1001","Monroe",0.852475581003705,0.97325642370215,0.968536969061353,0.952801358234295,0.940101714070446,-32.4651639344262,0.944995044598612,0.0441989843803861,290.5,266.4,11254.2101296784,2199.46163488071
"1002","Monroe",0.762892078681552,0.967822816548266,0.958211450062683,0.930066225165563,0.95176571920758,-27.1373456790123,1,0.0441989843803861,290.5,266.4,12287.8600126539,2255.30568910566
"1003","Monroe",0.723612903225806,0.971300448430493,0.956502242152466,0.951563797398284,0.940798659592293,-28.3131682611142,1,0.0441989843803861,290.5,266.4,9805.13981315275,2230.72410674512
"101.01","Greenwich",0.831928606841844,0.990627253064167,0.940879596250901,0.96384872080089,0.874158467115484,-25.8831808585503,0.877848101265823,-0.0110535700331749,276.1,262.1,26239.3850221469,2147.58498833333
"101.02","Greenwich",0.917439293598234,0.991198375084631,0.985781990521327,0.939933259176863,0.893182322895847,-29.6955345060893,0.952288845905867,-0.0110535700331749,276.1,262.1,19400.7772565874,2148.67866816783
"102.01","Greenwich",0.945868945868946,1,0.978193146417445,0.94625550660793,0.904476670870114,-38.4784946236559,0.911069063386944,-0.0110535700331749,276.1,262.1,26749.8733793776,2234.97013077004
"102.02","Greenwich",0.908689748811948,0.987376509330406,0.959385290889133,0.966437177280551,0.804536234556519,-31.5145723841376,0.942088934850052,-0.0110535700331749,276.1,262.1,29768.4115672585,2120.37428898207
"103","Greenwich",0.883333333333333,0.987306064880113,0.979548660084626,0.908820023837902,0.790691694523014,-27.1260132645542,0.916020671834625,-0.0110535700331749,276.1,262.1,38857.5601190289,2206.82226026742
"104","Greenwich",0.700406228842248,0.993399339933993,0.981140971239981,0.945185185185185,0.735845447589901,-22.3478808224927,0.934361233480176,-0.0110535700331749,276.1,262.1,39725.3539338615,2147.79639401328
"105","Greenwich",0.660696181142278,0.950886766712142,0.90768531150523,0.911224796870298,0.335912052117264,-21.8248442652986,0.890643985419198,-0.0110535700331749,276.1,262.1,43498.7747558621,2115.88827839224
"1051","Easton",0.913106096975516,0.970318021201413,0.975971731448763,0.979365878208354,0.965909090909091,-31.3313253012048,0.963896457765668,0.0169207884349914,283,269,14213.1707529197,2428.61633764964
"1052","Easton",0.919770773638969,0.992805755395683,0.982913669064748,0.95792349726776,0.994781095969846,-37.2876712328767,0.967798085291558,0.0169207884349914,283,269,10786.9669928371,2301.05881865169
"106","Greenwich",0.813859790491539,0.959385290889133,0.892425905598244,0.939047619047619,0.430594900849858,-21.9033232628399,0.739448051948052,-0.0110535700331749,276.1,262.1,44761.0465376,2194.63068421053
"107","Greenwich",0.801007556675063,0.942211055276382,0.939070351758794,0.85996705107084,0.521040974529347,-23.6440677966102,0.899435028248588,-0.0110535700331749,276.1,262.1,43321.3379372333,2185.65627970692
"108","Greenwich",0.905450500556173,0.990588235294118,0.941960784313726,0.938149972632731,0.850354191263282,-34.7581227436823,0.945144551519644,-0.0110535700331749,276.1,262.1,34107.5169058758,2145.4383875
"109","Greenwich",0.890371438874865,0.964592274678112,0.966738197424893,0.926417370325694,0.749853544229643,-28.6231527093596,0.983122362869198,-0.0110535700331749,276.1,262.1,40300.2810616596,2097.82978748404
"110","Greenwich",0.963266901133255,0.982921083627797,0.99057714958775,0.925531914893617,0.902801600914808,-36.9636067354699,0.942809550249861,-0.0110535700331749,276.1,262.1,38205.9707410776,1978.46016436848
"1101","Shelton",0.459398496240602,0.858895705521472,0.835378323108384,0.90185873605948,0.465095598043575,-20.8348540145985,0.912313432835821,-0.0380737455600911,274.2,258.4,22523.5188326293,2340.8383139934
"1102.01","Shelton",0.620270739326623,0.913600891861761,0.884057971014493,0.895539906103286,0.743600592341866,-23.7332214765101,0.939759036144578,-0.0380737455600911,274.2,258.4,21994.2259943142,2220.66954902696
"1102.02","Shelton",0.665381319622965,0.97204641350211,0.973101265822785,0.937080536912752,0.907070707070707,-21.50146484375,0.923976608187135,-0.0380737455600911,274.2,258.4,26520.2834773707,2340.04584464533
"1103.01","Shelton",0.779577668498698,0.980434009249377,0.964425471362504,0.945558739255014,0.84316976127321,-22.7448533998752,0.969644705070714,-0.0380737455600911,274.2,258.4,21334.2576867888,2229.52661851293
"1103.02","Shelton",0.697585768742058,0.979420018709074,0.942937324602432,0.918156808803301,0.767390504232609,-23.4748201438849,0.932809773123909,-0.0380737455600911,274.2,258.4,24851.3437791287,2137.11647034448
"1104","Shelton",0.663198458574181,0.986511342734519,0.98528510116493,0.945263975155279,0.988388969521045,-28.8876040703053,0.93735632183908,-0.0380737455600911,274.2,258.4,14407.216511294,2251.94447753727
"1105","Shelton",0.681553398058252,0.991559086395233,0.995034756703079,0.933806146572104,0.989945466939332,-25.6626738794436,0.993096646942801,-0.0380737455600911,274.2,258.4,13129.4551528153,2286.30268347124
"1106","Shelton",0.694039735099338,0.962137296532201,0.958952583156405,0.945531019978969,0.940029076811243,-27.8391785879096,0.938247011952191,-0.0380737455600911,274.2,258.4,13831.3356244689,2400.11966737711
"111","Greenwich",0.967090829311101,0.99468438538206,0.973421926910299,0.957482054113749,0.895882818685669,-36.5324763193505,0.956770502225048,-0.0110535700331749,276.1,262.1,34127.3690349619,2056.70372278201
"112","Greenwich",0.934358974358974,1,0.963172804532578,0.948979591836735,0.764829396325459,-32.1937321937322,0.914507772020725,-0.0110535700331749,276.1,262.1,40496.4369530822,2128.64450673973
