Year,Town,Industry,Units,Annual Average Employment,Total Annual Wages,Annual Average Wage
2009,Ansonia,Total - All Industries,318,3623.083333,133971749,36977.27506
2009,Ashford,Total - All Industries,72,503.9166667,16176786,32102.10551
2009,Avon,Total - All Industries,737,7917.416667,385325720,48668.11186
2009,Barkhamsted,Total - All Industries,84,616.3333333,23157991,37573.80909
2009,Beacon Falls,Total - All Industries,108,887.3333333,40211540,45317.28775
2009,Berlin,Total - All Industries,729,12094.5,661883348,54725.97859
2009,Bethany,Total - All Industries,129,1006.666667,47423546,47109.48278
2009,Bethel,Total - All Industries,627,6357,311242995,48960.67249
2009,Bethlehem,Total - All Industries,112,656.4444444,20955435,31922.63287
2009,Bloomfield,Total - All Industries,799,17488.33333,1139938825,65182.81664
2009,Bolton,Total - All Industries,127,1204.166667,45737346,37982.57107
2009,Bozrah,Total - All Industries,78,989.8333333,41680131,42108.23135
2009,Branford,Total - All Industries,1113,12259.91667,540864763,44116.51218
2009,Bridgeport,Total - All Industries,2371,42764.16667,2144423354,50145.33244
2009,Bridgewater,Total - All Industries,48,247.25,14267082,57703.06168
2009,Bristol,Total - All Industries,1229,20285.83333,1033124654,50928.38125
2009,Brookfield,Total - All Industries,669,7255.333333,300298311,41390.00887
2009,Brooklyn,Total - All Industries,156,1417.833333,49089358,34622.79864
2009,Burlington,Total - All Industries,161,1157.333333,44629509,38562.36377
2009,Canaan,Total - All Industries,96,714.3333333,26535522,37147.25432
2009,Canterbury,Total - All Industries,78,476.75,14216260,29819.10855
2009,Canton,Total - All Industries,393,3145,108164044,34392.38283
2009,Chaplin,Total - All Industries,45,302.8333333,9694282,32011.93836
2009,Cheshire,Total - All Industries,939,15209.16667,793492401,52171.98407
2009,Chester,Total - All Industries,147,1951.75,81630859,41824.44422
2009,Clinton,Total - All Industries,423,4029.583333,148792386,36925.00531
2009,Colchester,Total - All Industries,350,3594.166667,135411461,37675.34273
