"NAME10_1","geo","college","publicassistance","poverty","unemployment","owneroccupied","vacancy","employment_access_index","job_diversity_index","jobchange","Total.Mathematics.Avg.Scale.Score","Total.Reading.Average.Scale.Score","inverse.pct","index"
"","1428",0.210884705504629,0.702187495306381,0.56102091073068,0.144222554899594,0.17155700214527,-0.0164581100337669,-0.178309402261289,0.654830670153914,NA,NA,NA,NA,0.281241978305676
"Andover","5281",0.285091558140548,0.781455701206652,0.616249817325165,0.941069712808488,0.863470377443725,0.908224572796476,-0.933464527166077,-0.14921595835291,-6.47053068813586,0.778338443233343,0.997248700365131,0.897347175482684,-0.0403929262377196
"Ansonia","1253",-0.680279648098198,-0.831561883927306,-0.32515776351246,-0.173856876752635,-1.13822720216339,0.0554429376991893,-0.334664505518806,-0.0337453259149061,0.606582794722621,-0.841762185347363,-0.854195406160916,0.417583729801889,-0.344486777931023
"Ansonia","1252",-0.791486859561266,-0.568787873456642,-0.300751278084718,-0.175764230663171,-0.659599326123937,0.621234061571882,-0.377691957570031,-0.0684946595378301,0.606582794722621,-0.841762185347363,-0.854195406160916,0.417583729801889,-0.249427765867457
"Ansonia","1251",-0.465015994052919,0.625568174148754,0.489982264044976,0.596423083702846,0.910483460771677,0.84966584379745,-0.329584361845528,0.0234508459489201,0.606582794722621,-0.841762185347363,-0.854195406160916,0.417583729801889,0.169098520794367
"Ansonia","1254",-1.0604019058932,-0.698347729266556,-0.998827805365019,-0.10478194276906,-0.289893591523402,-0.0805724725449986,-0.481173327822073,-0.163826466335424,0.606582794722621,-0.841762185347363,-0.854195406160916,0.417583729801889,-0.379134692375292
"Ashford","8301",0.0292881952132842,0.100019522619129,0.522994019191139,0.542808822256099,0.421873289970565,-0.357405610862165,-1.02038639115318,-0.222356908215676,0.92194256267899,-0.251809575500047,-0.0552091101898538,1.06370299943588,0.141288484620346
"Avon","4621.01",1.4657833276538,0.782407578641272,0.622314859124772,0.798215842016303,0.943517133352674,0.842640982156015,-0.595137666041377,-0.103151393459875,0.770580807284066,0.996167099176968,1.91746050331111,0.896582841218393,0.778115159536177
"Avon","4621.02",1.639803296496,0.686852463204095,0.449196476790155,0.0500311268525731,0.915903913646996,0.865056558760155,-0.734933801373296,-0.379627051836317,0.770580807284066,0.996167099176968,1.91746050331111,0.896582841218393,0.672756186127575
"Avon","4622.01",1.41626203515154,0.748932140410278,0.360258547393842,0.411692480938567,0.64687039789615,1.1027660967434,-0.36336166979213,-0.318501919158137,0.770580807284066,0.996167099176968,1.91746050331111,0.896582841218393,0.715475780047838
"Avon","4622.02",1.39398018972069,0.670384651086499,0.561694806920013,0.0915617011940617,0.0812388644641634,0.0958796928237847,-0.427908687836819,-0.115789725665023,0.770580807284066,0.996167099176968,1.91746050331111,0.896582841218393,0.577652728641493
"Barkhamsted","2901",0.400626882377196,0.735340348782171,0.800918322884424,0.487625785204578,0.9405210573004,0.0309840922915418,-0.976235523542419,-0.454462338669461,14.4667514086634,0.714805085249784,0.56193892531883,1.22337548458216,1.57768246087021
"Beacon Falls","3411",0.129907524294602,0.612683208063998,0.497200630862022,-0.0399336317752802,0.798115757118229,0.351320947293465,-0.689596921576016,-0.226228050083522,-0.817778762465452,0.288223967360188,0.363569913905323,0.605188046302219,0.156056052441648
"Berlin","4002",0.832350236466828,0.707275448643194,0.490475123668378,0.577744927433604,1.10033096974628,0.724972474293721,-0.444290541621254,-1.02939492233758,-1.11382162151235,0.728419376246262,0.429692917709826,0.437217948382857,0.28674769475998
"Berlin","4001",0.159252275735252,0.662167048251391,0.367068574599195,0.21895868257916,0.533678012815501,0.390445708591956,-0.162016986223391,-1.13332534390067,-1.11382162151235,0.728419376246262,0.429692917709826,0.437217948382857,0.126478049439582
"Berlin","4003",0.637873685903558,0.590676066207758,0.505036337621845,0.705671437013786,0.873310068120111,0.670420351197938,-0.150701787641358,-0.894486883414743,-1.11382162151235,0.728419376246262,0.429692917709826,0.437217948382857,0.284942324652957
"Bethany","1611",0.792764153747357,0.691465862104287,0.538400215126983,0.195461334642381,0.911686876088141,0.651218281724165,-0.704123838974142,-0.16827706083932,1.24293583572199,0.238304900373106,0.336018662320114,1.08363072237432,0.484123828700782
"Bethel","2003.02",0.851024961222601,0.669538661210239,0.754672294739106,0.358247110555399,0.920855030113822,0.437249143765534,-0.634177367362716,-0.525540270036895,1.60032911879085,1.11415762114643,1.26725096590018,0.880641885802456,0.641187429653917
"Bethel","2003.01",0.679939864230037,0.439816465799768,0.744687092669852,0.907382308367005,0.901551529528854,0.886983146179856,-0.284701755210602,-0.439519509290071,1.60032911879085,1.11415762114643,1.26725096590018,0.880641885802456,0.724876561159551
"Bethel","2002",0.202132174064998,0.529659123027813,0.664813983597093,0.0206224126684322,-0.00773611403398204,0.741564201234857,-0.339626411252621,-0.287714246252109,1.60032911879085,1.11415762114643,1.26725096590018,0.880641885802456,0.532174559557866
"Bethel","2001",0.0430943362678244,0.117138834592839,0.239717955307061,-0.237943500002248,0.011988173173285,0.545829095847547,-0.357091981849118,-0.51244112099475,1.60032911879085,1.11415762114643,1.26725096590018,0.880641885802456,0.392722615331863
"Bethlehem","3421",0.169071289875103,0.491683257060414,0.657197053480995,0.395160716524153,0.739514167890252,0.109755790933173,-0.927334366433766,-0.268899115796812,1.20720283020581,0.560509787289718,0.815410439902753,1.20623605303982,0.429625658664301
